State,AgencyType,AgencyName,AssaultOffenses,HomicideOffenses,KidnappingAbduction,SexOffenses,SexOffensesNonforcible,Arson,Bribery,BurglaryBreaking&Entering,CounterfeitingForgery,DestructionDamageVandalism,Embezzlement,ExtortionBlackmail,FraudOffenses,LarcenyTheftOffenses,Robbery,StolenPropertyOffenses,DrugNarcoticOffenses,GamblingOffenses,PornographyObsceneMaterial,ProstitutionOffenses,WeaponLawViolations,TotalOffences
COLORADO,Cities,Craig,20.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,0.0,0.0,3.0,13.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,63.0
COLORADO,Cities,Crested Butte,40.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,7.0,25.0,0.0,0.0,2.0,64.0,0.0,0.0,36.0,0.0,0.0,0.0,7.0,192.0
COLORADO,Cities,Cripple Creek,32.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,45.0
COLORADO,Cities,Dacono,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
COLORADO,Cities,De Beque,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,5.0,0.0,0.0,3.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,59.0
COLORADO,Cities,Del Norte,128.0,0.0,2.0,9.0,1.0,10.0,0.0,52.0,17.0,161.0,0.0,0.0,24.0,265.0,5.0,0.0,32.0,0.0,0.0,0.0,8.0,714.0
COLORADO,Cities,Delta,5699.0,41.0,173.0,938.0,31.0,97.0,1.0,5078.0,156.0,6039.0,20.0,14.0,1087.0,14670.0,1176.0,97.0,1652.0,0.0,6.0,22.0,386.0,37383.0
COLORADO,Cities,Denver,6.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,17.0,0.0,0.0,7.0,29.0,0.0,0.0,25.0,0.0,0.0,0.0,1.0,96.0
COLORADO,Cities,Dillon,178.0,1.0,3.0,7.0,0.0,3.0,2.0,47.0,10.0,183.0,0.0,0.0,56.0,366.0,6.0,2.0,91.0,0.0,1.0,0.0,12.0,968.0
COLORADO,Cities,Durango,16.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,2.0,51.0,0.0,1.0,9.0,69.0,0.0,1.0,26.0,0.0,0.0,0.0,5.0,194.0
COLORADO,Cities,Eagle,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,19.0
COLORADO,Cities,Eaton,10.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,1.0,25.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,72.0
COLORADO,Cities,Elizabeth,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,16.0
COLORADO,Cities,Empire,328.0,0.0,9.0,25.0,2.0,8.0,0.0,223.0,112.0,511.0,0.0,0.0,152.0,1428.0,27.0,8.0,656.0,0.0,0.0,1.0,45.0,3535.0
COLORADO,Cities,Englewood,48.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,5.0,65.0,0.0,0.0,23.0,85.0,1.0,1.0,48.0,0.0,0.0,0.0,1.0,303.0
COLORADO,Cities,Erie,37.0,1.0,3.0,6.0,1.0,0.0,0.0,17.0,4.0,38.0,3.0,0.0,17.0,79.0,3.0,1.0,35.0,0.0,0.0,0.0,3.0,248.0
COLORADO,Cities,Estes Park,176.0,0.0,17.0,26.0,1.0,2.0,4.0,57.0,17.0,304.0,0.0,0.0,69.0,333.0,10.0,3.0,157.0,0.0,0.0,0.0,15.0,1191.0
COLORADO,Cities,Evans,159.0,1.0,16.0,34.0,0.0,2.0,0.0,86.0,19.0,245.0,0.0,0.0,71.0,519.0,11.0,9.0,183.0,0.0,0.0,0.0,11.0,1366.0
